xflr5 v6.62

Plane name :, AR6.00_TR0.30_TW4.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,  -0.291350,   0.004900,   0.006657,   0.011557,   0.000000,  -0.000000,   0.017252,   0.000000,   0.000000,   25.0000,    0.0923
   -3.500,     0.000,  -0.248549,   0.003762,   0.006504,   0.010266,   0.000000,   0.000000,   0.005879,   0.000000,   0.000000,   25.0000,    0.0245
   -3.000,     0.000,  -0.207137,   0.002771,   0.006362,   0.009133,   0.000000,   0.000000,  -0.005114,   0.000000,  -0.000000,   25.0000,   -0.0681
   -2.500,     0.000,  -0.165595,   0.001962,   0.006239,   0.008201,   0.000000,   0.000000,  -0.016157,   0.000000,   0.000000,   25.0000,   -0.2084
   -2.000,     0.000,  -0.124039,   0.001338,   0.006126,   0.007464,   0.000000,   0.000000,  -0.027213,   0.000000,   0.000000,   25.0000,   -0.4435
   -1.500,     0.000,  -0.082485,   0.000899,   0.006017,   0.006916,   0.000000,  -0.000000,  -0.038276,   0.000000,   0.000000,   25.0000,   -0.9403
   -1.000,     0.000,  -0.040900,   0.000645,   0.005923,   0.006568,   0.000000,   0.000000,  -0.049358,   0.000000,   0.000000,   25.0000,   -2.5825
   -0.500,     0.000,   0.000693,   0.000577,   0.005832,   0.006409,   0.000000,   0.000000,  -0.060452,   0.000000,   0.000000,   25.0000,  152.8706
    0.000,     0.000,   0.042327,   0.000694,   0.005751,   0.006445,   0.000000,   0.000000,  -0.071575,   0.000000,   0.000000,   25.0000,    3.2706
    0.500,     0.000,   0.083929,   0.000997,   0.005676,   0.006672,   0.000000,   0.000000,  -0.082685,  -0.000000,   0.000000,   25.0000,    1.8954
    1.000,     0.000,   0.125551,   0.001485,   0.005618,   0.007103,   0.000000,  -0.000000,  -0.093805,   0.000000,   0.000000,   25.0000,    1.3050
    1.500,     0.000,   0.167203,   0.002160,   0.005553,   0.007713,   0.000000,  -0.000000,  -0.104953,   0.000000,   0.000000,   25.0000,    1.1854
    2.000,     0.000,   0.208829,   0.003020,   0.005487,   0.008507,   0.000000,   0.000000,  -0.116096,   0.000000,   0.000000,   25.0000,    1.0470
    2.500,     0.000,   0.250331,   0.004063,   0.005425,   0.009488,   0.000000,  -0.000000,  -0.127183,   0.000000,   0.000000,   25.0000,    0.9548
    3.000,     0.000,   0.291685,   0.005286,   0.005309,   0.010595,   0.000000,  -0.000000,  -0.138224,   0.000000,  -0.000000,   25.0000,    0.8890
    3.500,     0.000,   0.333074,   0.006691,   0.005218,   0.011909,   0.000000,  -0.000000,  -0.149263,   0.000000,   0.000000,   25.0000,    0.8394
    4.000,     0.000,   0.374345,   0.008280,   0.005153,   0.013433,   0.000000,  -0.000000,  -0.160243,   0.000000,  -0.000000,   25.0000,    0.8007
    4.500,     0.000,   0.415700,   0.010049,   0.005103,   0.015153,   0.000000,  -0.000000,  -0.171230,  -0.000000,  -0.000000,   25.0000,    0.7694
    5.000,     0.000,   0.456746,   0.011994,   0.005083,   0.017077,   0.000000,  -0.000000,  -0.182067,  -0.000000,  -0.000000,   25.0000,    0.7436
    5.500,     0.000,   0.497489,   0.014101,   0.005091,   0.019193,   0.000000,  -0.000000,  -0.192722,   0.000000,   0.000000,   25.0000,    0.7217
    6.000,     0.000,   0.537750,   0.016354,   0.005135,   0.021489,   0.000000,  -0.000000,  -0.203086,  -0.000000,  -0.000000,   25.0000,    0.7026
    6.500,     0.000,   0.577556,   0.018756,   0.005233,   0.023988,   0.000000,  -0.000000,  -0.213170,   0.000000,  -0.000000,   25.0000,    0.6857
    7.000,     0.000,   0.617420,   0.021319,   0.005393,   0.026713,   0.000000,  -0.000000,  -0.223171,  -0.000000,  -0.000000,   25.0000,    0.6706
    7.500,     0.000,   0.658221,   0.024103,   0.005618,   0.029720,   0.000000,  -0.000000,  -0.233588,  -0.000000,  -0.000000,   25.0000,    0.6576
    8.000,     0.000,   0.700483,   0.027152,   0.005899,   0.033051,   0.000000,  -0.000000,  -0.244734,  -0.000000,  -0.000000,   25.0000,    0.6468
    8.500,     0.000,   0.744751,   0.030544,   0.006243,   0.036788,   0.000000,  -0.000000,  -0.256967,  -0.000000,  -0.000000,   25.0000,    0.6384
    9.000,     0.000,   0.790068,   0.034286,   0.006612,   0.040898,   0.000000,  -0.000000,  -0.270205,  -0.000000,  -0.000000,   25.0000,    0.6322
    9.500,     0.000,   0.832871,   0.038052,   0.007021,   0.045073,   0.000000,  -0.000000,  -0.282363,  -0.000000,  -0.000000,   25.0000,    0.6259
   10.000,     0.000,   0.872725,   0.041761,   0.007416,   0.049177,   0.000000,   0.000000,  -0.293154,  -0.000000,  -0.000000,   25.0000,    0.6190
   10.500,     0.000,   0.910656,   0.045447,   0.007801,   0.053248,   0.000000,  -0.000000,  -0.302678,   0.000000,   0.000000,   25.0000,    0.6113
   11.000,     0.000,   0.948422,   0.049250,   0.008198,   0.057449,   0.000000,  -0.000000,  -0.312047,  -0.000000,  -0.000000,   25.0000,    0.6040
   11.500,     0.000,   0.986515,   0.053231,   0.008585,   0.061815,   0.000000,  -0.000000,  -0.321477,  -0.000000,  -0.000000,   25.0000,    0.5971
