Plane,AR,TR,TW,LD_cruise,CDi_cruise,CD_cruise,CL_max,Alpha_CLmax,Cm_alpha
AR6.00_TR0.30_TW0.00,6,0.3,0,27.124225214615,0.0133553430384105,0.0184483049722127,1.556945,18,-0.0218994623376623
AR6.00_TR0.30_TW1.00,6,0.3,1,26.9558183978263,0.0134788279641561,0.0185691485595793,1.563541,18.5,-0.0218843792207792
AR6.00_TR0.30_TW2.00,6,0.3,2,26.6873922657313,0.0136679053917085,0.0187556239153544,1.569834,19,-0.021838838961039
AR6.00_TR0.30_TW3.00,6,0.3,3,26.3160437729753,0.0139220505088019,0.0190148921736116,1.575792,19.5,-0.0218038025974026
AR6.00_TR0.30_TW4.00,6,0.3,4,25.8644597277777,0.0142415152132337,0.0193361970393184,1.58156,20,-0.0218027324675325
AR6.00_TR0.47_TW0.00,6,0.47,0,27.1786926985416,0.013343337485172,0.0184093370403321,1.581978,18.5,-0.0216340883116883
AR6.00_TR0.47_TW1.00,6,0.47,1,27.1812901118249,0.0133394810502849,0.0184132062422591,1.585801,19,-0.0215763350649351
AR6.00_TR0.47_TW2.00,6,0.47,2,27.0613210788421,0.0134091172984901,0.0184967381300672,1.589408,19.5,-0.0214977506493506
AR6.00_TR0.47_TW3.00,6,0.47,3,26.8449646894427,0.0135492504353884,0.0186436805990944,1.592589,20,-0.0214521506493506
AR6.00_TR0.47_TW4.00,6,0.47,4,26.5124518594385,0.0137608617454019,0.0188719347657907,1.571223,20,-0.0214581558441558
AR6.00_TR0.65_TW0.00,6,0.65,0,27.007975491435,0.0134552310933799,0.0185201197107593,1.567061,18.5,-0.0211417350649351
AR6.00_TR0.65_TW1.00,6,0.65,1,27.1351329951278,0.0133559233092843,0.0184400910202961,1.568894,19,-0.021076587012987
AR6.00_TR0.65_TW2.00,6,0.65,2,27.1648632696095,0.0133301076206223,0.0184240560649331,1.570372,19.5,-0.0210081376623377
AR6.00_TR0.65_TW3.00,6,0.65,3,27.065107681132,0.0133773737475454,0.0184933341221489,1.547748,19.5,-0.0209573844155844
AR6.00_TR0.65_TW4.00,6,0.65,4,26.8554353875761,0.0134977651434644,0.0186367247608927,1.548995,20,-0.0209532805194805
AR6.00_TR0.82_TW0.00,6,0.82,0,26.7423695110623,0.0136267794475932,0.0186992872823327,1.546776,18.5,-0.0205504961038961
AR6.00_TR0.82_TW1.00,6,0.82,1,26.9906536239519,0.0134444446664812,0.0185305036804695,1.523153,18.5,-0.0205160363636364
AR6.00_TR0.82_TW2.00,6,0.82,2,27.1086519889397,0.0133402780487805,0.0184559849593496,1.523642,19,-0.020465438961039
AR6.00_TR0.82_TW3.00,6,0.82,3,27.1160711408375,0.0133100345735166,0.0184552653191598,1.498989,19,-0.0204378649350649
AR6.00_TR0.82_TW4.00,6,0.82,4,27.0069733368111,0.0133530345109877,0.0185318750543631,1.499335,19.5,-0.0204300909090909
AR6.00_TR1.00_TW0.00,6,1,0,26.4293479963827,0.0138441361793899,0.0189310733513485,1.501239,18,-0.0199747428571429
AR6.00_TR1.00_TW1.00,6,1,1,26.752181931365,0.0135862563260626,0.0186968679540302,1.47594,18,-0.0199506883116883
AR6.00_TR1.00_TW2.00,6,1,2,26.9608228985842,0.0134032737834566,0.0185459621319457,1.449255,18,-0.0199296233766234
AR6.00_TR1.00_TW3.00,6,1,3,27.0484402987027,0.0133070077455334,0.0184921618300114,1.421677,18,-0.0199179376623377
AR6.00_TR1.00_TW4.00,6,1,4,27.0374835621296,0.0132854505471921,0.0185045600883728,1.421791,18.5,-0.0199176363636364
AR7.50_TR0.30_TW0.00,7.5,0.3,0,31.6170205573036,0.0107013636936579,0.0158239601783338,1.548242,17,-0.0231660051948052
AR7.50_TR0.30_TW1.00,7.5,0.3,1,31.4083589038573,0.0108125361630437,0.0159194929218242,1.555228,17.5,-0.0231669168831169
AR7.50_TR0.30_TW2.00,7.5,0.3,2,31.0586187194962,0.0110092459212377,0.0161066092592593,1.588195,18.5,-0.0231274285714286
AR7.50_TR0.30_TW3.00,7.5,0.3,3,30.5456846131031,0.0112760580754557,0.016381140101738,1.594123,19,-0.0230481454545455
AR7.50_TR0.30_TW4.00,7.5,0.3,4,29.9251720465103,0.0116082336097526,0.0167212395633992,1.599481,19.5,-0.0229701896103896
AR7.50_TR0.47_TW0.00,7.5,0.47,0,31.6935405972144,0.0107009950071327,0.0157868413694722,1.573535,17.5,-0.0228860779220779
AR7.50_TR0.47_TW1.00,7.5,0.47,1,31.7233429349361,0.010683844203849,0.0157652172036344,1.577542,18,-0.0228656337662338
AR7.50_TR0.47_TW2.00,7.5,0.47,2,31.5859004011298,0.0107502472186134,0.015833596976497,1.581275,18.5,-0.0227950415584416
AR7.50_TR0.47_TW3.00,7.5,0.47,3,31.260101656732,0.0108985935065243,0.0160035529163805,1.584541,19,-0.0227019012987013
AR7.50_TR0.47_TW4.00,7.5,0.47,4,30.8037619596312,0.0111179349578034,0.0162431786758588,1.587234,19.5,-0.0226085792207792
AR7.50_TR0.65_TW0.00,7.5,0.65,0,31.4426476271434,0.010829829741224,0.0159152945049136,1.559337,17.5,-0.0223319688311688
AR7.50_TR0.65_TW1.00,7.5,0.65,1,31.6627610510309,0.0107150212427362,0.0158012857521761,1.561491,18,-0.0223083142857143
AR7.50_TR0.65_TW2.00,7.5,0.65,2,31.6930777040854,0.0106748515067167,0.0157804040421155,1.563157,18.5,-0.0222560051948052
AR7.50_TR0.65_TW3.00,7.5,0.65,3,31.5755811768012,0.0107156036804524,0.0158373868308813,1.564294,19,-0.0221757012987013
AR7.50_TR0.65_TW4.00,7.5,0.65,4,31.2807609511325,0.0108400482420278,0.0159908898802366,1.540908,19,-0.0221104285714286
AR7.50_TR0.82_TW0.00,7.5,0.82,0,31.0649510297408,0.0110156484145661,0.0161107907760984,1.540532,17.5,-0.021699612987013
AR7.50_TR0.82_TW1.00,7.5,0.82,1,31.4048675254826,0.0108225267696205,0.0159357733229405,1.540924,18,-0.0216885402597403
AR7.50_TR0.82_TW2.00,7.5,0.82,2,31.5933010376598,0.0107039808118981,0.0158380625868585,1.516591,18,-0.0216463194805195
AR7.50_TR0.82_TW3.00,7.5,0.82,3,31.6149228368349,0.0106598806620421,0.0158230715833029,1.490803,18,-0.0216011974025974
AR7.50_TR0.82_TW4.00,7.5,0.82,4,31.4658664257295,0.0106903938520653,0.0158927173871278,1.491052,18.5,-0.0215548233766234
AR7.50_TR1.00_TW0.00,7.5,1,0,30.6127157499017,0.0112298362535839,0.0163491404906021,1.494918,17,-0.0211027532467533
AR7.50_TR1.00_TW1.00,7.5,1,1,31.0579497414213,0.0109696168185584,0.0161157290803645,1.468427,17,-0.0210933974025974
AR7.50_TR1.00_TW2.00,7.5,1,2,31.3507859358022,0.0107855539010016,0.0159648287779206,1.468183,17.5,-0.0210676285714286
AR7.50_TR1.00_TW3.00,7.5,1,3,31.4849598749805,0.0106761781168643,0.0158956696557709,1.44062,17.5,-0.0210401272727273
AR7.50_TR1.00_TW4.00,7.5,1,4,31.4497572853941,0.0106440821019229,0.0159105092355783,1.411885,17.5,-0.0210208103896104
